datetime,open,high,low,close,gradient,signal_label,signal_with_time
2018-01-01,1302.96,1366.08,1302.26,1345.04,,Neutral,Neutral (2018-01-01 00:00:00)
2018-02-01,1344.73,1361.76,1307.08,1318.07,-26.970000000000027,Bearish,Bearish (2018-02-01 00:00:00)
2018-03-01,1318.0,1356.86,1302.82,1325.15,7.080000000000155,Bullish,Bullish (2018-03-01 00:00:00)
2018-04-01,1325.5,1365.29,1310.24,1315.27,-9.88000000000011,Bearish,Bearish (2018-04-01 00:00:00)
2018-05-01,1314.72,1325.98,1282.1,1298.25,-17.019999999999982,Bearish,Bearish (2018-05-01 00:00:00)
2018-06-01,1298.65,1309.3,1245.98,1252.69,-45.559999999999945,Bearish,Bearish (2018-06-01 00:00:00)
2018-07-01,1251.64,1265.98,1211.46,1223.72,-28.970000000000027,Bearish,Bearish (2018-07-01 00:00:00)
2018-08-01,1223.45,1224.85,1160.19,1201.01,-22.710000000000036,Bearish,Bearish (2018-08-01 00:00:00)
2018-09-01,1200.69,1212.67,1180.67,1191.95,-9.059999999999945,Bearish,Bearish (2018-09-01 00:00:00)
2018-10-01,1192.32,1243.45,1183.33,1214.63,22.680000000000064,Bullish,Bullish (2018-10-01 00:00:00)
2018-11-01,1215.31,1237.39,1196.33,1222.22,7.589999999999918,Bullish,Bullish (2018-11-01 00:00:00)
2018-12-01,1224.79,1284.11,1219.59,1282.46,60.24000000000001,Bullish,Bullish (2018-12-01 00:00:00)
2019-01-01,1282.23,1326.3,1276.66,1321.35,38.88999999999987,Bullish,Bullish (2019-01-01 00:00:00)
2019-02-01,1321.1,1346.76,1302.37,1313.14,-8.209999999999809,Bearish,Bearish (2019-02-01 00:00:00)
2019-03-01,1313.85,1324.54,1280.9,1292.0,-21.1400000000001,Bearish,Bearish (2019-03-01 00:00:00)
2019-04-01,1292.28,1310.62,1266.34,1283.44,-8.559999999999945,Bearish,Bearish (2019-04-01 00:00:00)
2019-05-01,1283.16,1306.96,1266.31,1305.55,22.1099999999999,Bullish,Bullish (2019-05-01 00:00:00)
2019-06-01,1306.98,1439.12,1305.95,1409.46,103.91000000000008,Bullish,Bullish (2019-06-01 00:00:00)
2019-07-01,1398.45,1452.98,1381.8,1411.66,2.2000000000000455,Bullish,Bullish (2019-07-01 00:00:00)
2019-08-01,1413.35,1555.03,1400.56,1520.55,108.88999999999987,Bullish,Bullish (2019-08-01 00:00:00)
2019-09-01,1532.86,1557.06,1464.53,1472.55,-48.0,Bearish,Bearish (2019-09-01 00:00:00)
2019-10-01,1471.89,1519.64,1459.1,1512.48,39.930000000000064,Bullish,Bullish (2019-10-01 00:00:00)
2019-11-01,1512.62,1516.17,1445.62,1463.97,-48.50999999999999,Bearish,Bearish (2019-11-01 00:00:00)
2019-12-01,1464.19,1525.32,1453.99,1520.3,56.32999999999993,Bullish,Bullish (2019-12-01 00:00:00)
2020-01-01,1517.97,1611.39,1517.23,1589.17,68.87000000000012,Bullish,Bullish (2020-01-01 00:00:00)
2020-02-01,1593.12,1689.35,1547.51,1585.67,-3.5,Bearish,Bearish (2020-02-01 00:00:00)
2020-03-01,1591.59,1703.29,1451.22,1576.22,-9.450000000000045,Bearish,Bearish (2020-03-01 00:00:00)
2020-04-01,1575.06,1747.81,1567.84,1687.0,110.77999999999997,Bullish,Bullish (2020-04-01 00:00:00)
2020-05-01,1686.77,1765.31,1670.32,1729.81,42.809999999999945,Bullish,Bullish (2020-05-01 00:00:00)
2020-06-01,1735.05,1786.12,1670.72,1780.44,50.63000000000011,Bullish,Bullish (2020-06-01 00:00:00)
2020-07-01,1780.44,1983.07,1757.44,1975.24,194.79999999999995,Bullish,Bullish (2020-07-01 00:00:00)
2020-08-01,1978.48,2075.24,1862.6,1967.63,-7.6099999999999,Bearish,Bearish (2020-08-01 00:00:00)
2020-09-01,1967.06,1992.41,1848.41,1885.55,-82.08000000000015,Bearish,Bearish (2020-09-01 00:00:00)
2020-10-01,1885.26,1933.19,1859.94,1878.38,-7.169999999999845,Bearish,Bearish (2020-10-01 00:00:00)
2020-11-01,1877.02,1965.51,1764.23,1776.72,-101.66000000000008,Bearish,Bearish (2020-11-01 00:00:00)
2020-12-01,1777.9,1906.74,1775.74,1893.7,116.98000000000002,Bullish,Bullish (2020-12-01 00:00:00)
2021-01-01,1908.61,1959.35,1803.58,1848.69,-45.00999999999999,Bearish,Bearish (2021-01-01 00:00:00)
2021-02-01,1859.64,1871.82,1717.22,1734.28,-114.41000000000008,Bearish,Bearish (2021-02-01 00:00:00)
2021-03-01,1735.92,1759.83,1676.81,1707.39,-26.889999999999873,Bearish,Bearish (2021-03-01 00:00:00)
2021-04-01,1707.04,1797.85,1705.76,1768.88,61.49000000000001,Bullish,Bullish (2021-04-01 00:00:00)
2021-05-01,1766.81,1912.75,1766.04,1906.64,137.76,Bullish,Bullish (2021-05-01 00:00:00)
2021-06-01,1907.39,1916.6,1750.67,1770.37,-136.2700000000002,Bearish,Bearish (2021-06-01 00:00:00)
2021-07-01,1770.04,1834.14,1765.73,1814.09,43.72000000000003,Bullish,Bullish (2021-07-01 00:00:00)
2021-08-01,1813.83,1831.72,1679.17,1813.74,-0.34999999999990905,Bearish,Bearish (2021-08-01 00:00:00)
2021-09-01,1814.36,1833.99,1721.65,1757.0,-56.74000000000001,Bearish,Bearish (2021-09-01 00:00:00)
2021-10-01,1756.36,1813.84,1745.88,1782.96,25.960000000000036,Bullish,Bullish (2021-10-01 00:00:00)
2021-11-01,1782.92,1877.13,1758.82,1774.81,-8.150000000000091,Bearish,Bearish (2021-11-01 00:00:00)
2021-12-01,1775.08,1828.61,1751.04,1828.34,53.52999999999997,Bullish,Bullish (2021-12-01 00:00:00)
2022-01-01,1830.09,1853.88,1780.31,1797.3,-31.039999999999964,Bearish,Bearish (2022-01-01 00:00:00)
2022-02-01,1798.04,1974.41,1788.7,1908.93,111.63000000000011,Bullish,Bullish (2022-02-01 00:00:00)
2022-03-01,1907.85,2070.27,1890.1,1937.12,28.189999999999827,Bullish,Bullish (2022-03-01 00:00:00)
2022-04-01,1937.27,1998.36,1872.04,1896.23,-40.88999999999987,Bearish,Bearish (2022-04-01 00:00:00)
2022-05-01,1897.82,1909.79,1791.41,1837.46,-58.76999999999998,Bearish,Bearish (2022-05-01 00:00:00)
2022-06-01,1837.01,1879.02,1802.74,1807.12,-30.340000000000146,Bearish,Bearish (2022-06-01 00:00:00)
2022-07-01,1806.88,1814.3,1680.92,1766.0,-41.11999999999989,Bearish,Bearish (2022-07-01 00:00:00)
2022-08-01,1764.18,1807.92,1709.65,1710.99,-55.00999999999999,Bearish,Bearish (2022-08-01 00:00:00)
2022-09-01,1711.12,1735.13,1614.87,1660.79,-50.200000000000045,Bearish,Bearish (2022-09-01 00:00:00)
2022-10-01,1662.36,1729.48,1617.26,1633.56,-27.230000000000018,Bearish,Bearish (2022-10-01 00:00:00)
2022-11-01,1632.66,1786.51,1616.66,1768.39,134.83000000000015,Bullish,Bullish (2022-11-01 00:00:00)
2022-12-01,1768.74,1833.32,1765.87,1823.73,55.33999999999992,Bullish,Bullish (2022-12-01 00:00:00)
2023-01-01,1826.92,1949.24,1824.21,1928.1,104.36999999999989,Bullish,Bullish (2023-01-01 00:00:00)
2023-02-01,1927.81,1959.78,1804.75,1826.5,-101.59999999999991,Bearish,Bearish (2023-02-01 00:00:00)
2023-03-01,1826.98,2009.8,1809.38,1969.22,142.72000000000003,Bullish,Bullish (2023-03-01 00:00:00)
2023-04-01,1961.31,2048.76,1949.74,1989.55,20.329999999999927,Bullish,Bullish (2023-04-01 00:00:00)
2023-05-01,1989.62,2071.72,1932.07,1962.6,-26.950000000000045,Bearish,Bearish (2023-05-01 00:00:00)
2023-06-01,1963.12,1983.43,1893.01,1919.17,-43.429999999999836,Bearish,Bearish (2023-06-01 00:00:00)
2023-07-01,1918.99,1987.46,1902.66,1965.52,46.34999999999991,Bullish,Bullish (2023-07-01 00:00:00)
2023-08-01,1965.78,1966.05,1884.86,1940.06,-25.460000000000036,Bearish,Bearish (2023-08-01 00:00:00)
2023-09-01,1939.88,1952.91,1846.32,1848.74,-91.31999999999994,Bearish,Bearish (2023-09-01 00:00:00)
2023-10-01,1847.81,2009.36,1810.43,1983.97,135.23000000000002,Bullish,Bullish (2023-10-01 00:00:00)
2023-11-01,1983.8,2051.99,1931.72,2036.09,52.11999999999989,Bullish,Bullish (2023-11-01 00:00:00)
2023-12-01,2036.88,2143.85,1973.02,2063.03,26.940000000000282,Bullish,Bullish (2023-12-01 00:00:00)
2024-01-01,2063.69,2078.88,2001.91,2039.2,-23.830000000000155,Bearish,Bearish (2024-01-01 00:00:00)
2024-02-01,2039.99,2065.41,1984.26,2044.12,4.919999999999845,Bullish,Bullish (2024-02-01 00:00:00)
2024-03-01,2043.69,2236.24,2039.1,2232.88,188.76000000000022,Bullish,Bullish (2024-03-01 00:00:00)
2024-04-01,2239.9,2431.52,2228.54,2286.3,53.42000000000007,Bullish,Bullish (2024-04-01 00:00:00)
2024-05-01,2286.49,2450.06,2277.34,2327.46,41.159999999999854,Bullish,Bullish (2024-05-01 00:00:00)
2024-06-01,2327.79,2387.72,2286.82,2326.4,-1.0599999999999454,Bearish,Bearish (2024-06-01 00:00:00)
2024-07-01,2327.13,2483.69,2318.56,2447.24,120.83999999999969,Bullish,Bullish (2024-07-01 00:00:00)
2024-08-01,2448.4,2531.72,2364.35,2503.35,56.11000000000013,Bullish,Bullish (2024-08-01 00:00:00)
2024-09-01,2503.75,2685.58,2471.93,2634.53,131.1800000000003,Bullish,Bullish (2024-09-01 00:00:00)
2024-10-01,2634.38,2790.1,2604.49,2743.77,109.23999999999978,Bullish,Bullish (2024-10-01 00:00:00)
2024-11-01,2743.83,2762.22,2536.85,2650.39,-93.38000000000011,Bearish,Bearish (2024-11-01 00:00:00)
2024-12-01,2652.29,2726.16,2582.92,2624.43,-25.960000000000036,Bearish,Bearish (2024-12-01 00:00:00)
2025-01-01,2625.14,2817.11,2614.79,2798.47,174.03999999999996,Bullish,Bullish (2025-01-01 00:00:00)
2025-02-01,2797.69,2956.29,2772.21,2859.06,60.590000000000146,Bullish,Bullish (2025-02-01 00:00:00)
2025-03-01,2856.12,3127.92,2855.87,3123.96,264.9000000000001,Bullish,Bullish (2025-03-01 00:00:00)
2025-04-01,3123.08,3500.12,2956.56,3288.27,164.30999999999995,Bullish,Bullish (2025-04-01 00:00:00)
2025-05-01,3289.25,3438.27,3120.57,3288.72,0.4499999999998181,Bullish,Bullish (2025-05-01 00:00:00)
2025-06-01,3298.26,3380.46,3295.92,3379.89,91.17000000000007,Bullish,Bullish (2025-06-01 00:00:00)
