index,time,open,high,low,close,avgPrice,gradient,signal_label,signal_with_time,CPI_Actual,CPI_Forecast,CPI_Previous,GDP_Actual,GDP_Forecast,GDP_Previous,Interest_Rate_Actual,Interest_Rate_Forecast,Interest_Rate_Previous,NFP_Actual,NFP_Forecast,NFP_Previous,PCE_Actual,PCE_Forecast,PCE_Previous,PPI_Actual,PPI_Forecast,PPI_Previous
22,2019/11/01 12:00am,1512.62,1516.17,1445.62,1463.97,1488.295,-3.89,Bearish,Bearish (2019-11-01 00:00:00),0.018,0.017,0.017,0.021,0.019,0.019,0.0175,0.0175,0.02,128K,89K,180K,0.013,0.012,0.013,0.011,0.009,0.014
23,2019/12/01 12:00am,1464.19,1525.32,1453.99,1520.3,1492.245,3.95,Bullish,Bullish (2019-12-01 00:00:00),0.021,0.02,0.018,0.021,0.021,0.021,0.0175,0.0175,0.0175,266K,186K,156K,0.015,0.012,0.014,0.011,0.012,0.011
24,2020/01/01 12:00am,1517.97,1611.39,1517.23,1589.17,1553.57,61.325,Bullish,Bullish (2020-01-01 00:00:00),0.023,0.023,0.021,0.021,0.021,0.021,0.0175,0.0175,0.0175,145K,164K,256K,0.016,0.012,0.014,0.013,0.013,0.011
25,2020/02/01 12:00am,1593.12,1689.35,1547.51,1585.67,1589.395,35.825,Bullish,Bullish (2020-02-01 00:00:00),0.025,0.024,0.023,0.021,0.021,0.021,0.0175,0.0175,0.0175,225K,160K,147K,0.017,0.012,0.015,0.021,0.016,0.013
26,2020/03/01 12:00am,1591.59,1703.29,1451.22,1576.22,1583.905,-5.49,Bearish,Bearish (2020-03-01 00:00:00),0.023,0.022,0.025,0.021,0.021,0.021,0.0125,0.0175,0.0175,273K,175K,273K,0.018,0.012,0.018,0.013,0.018,0.021
27,2020/03/01 12:00am,1591.59,1703.29,1451.22,1576.22,1583.905,-5.49,Bearish,Bearish (2020-03-01 00:00:00),0.023,0.022,0.025,0.021,0.021,0.021,0.0025,0.0175,0.0125,273K,175K,273K,0.018,0.012,0.018,0.013,0.018,0.021
28,2020/04/01 12:00am,1575.06,1747.81,1567.84,1687,1631.03,47.125,Bullish,Bullish (2020-04-01 00:00:00),0.015,0.016,0.023,-0.048,-0.04,0.021,0.0025,0.0025,0.0025,-701K,-100K,275K,0.013,0.012,0.018,0.007,0.005,0.013
29,2020/05/01 12:00am,1686.77,1765.31,1670.32,1729.81,1708.29,77.26,Bullish,Bullish (2020-05-01 00:00:00),0.003,0.004,0.015,-0.05,-0.048,-0.048,0.0025,0.0025,0.0025,"-20,537K","-22,000K",-870K,0.005,0.012,0.013,-0.012,-0.002,0.007
30,2020/06/01 12:00am,1735.05,1786.12,1670.72,1780.44,1757.745,49.455,Bullish,Bullish (2020-06-01 00:00:00),0.001,0.002,0.003,-0.05,-0.05,-0.05,0.0025,0.0025,0.0025,"2,509K","-8,000K","-20,687K",0.005,0.012,0.006,-0.008,-0.012,-0.012
31,2020/07/01 12:00am,1780.44,1983.07,1757.44,1975.24,1877.84,120.095,Bullish,Bullish (2020-07-01 00:00:00),0.006,0.006,0.001,-0.329,-0.341,-0.05,0.0025,0.0025,0.0025,"4,800K","3,000K","2,699K",0.008,0.012,0.005,-0.008,-0.002,-0.008
32,2020/08/01 12:00am,1978.48,2075.24,1862.6,1967.63,1973.055,95.215,Bullish,Bullish (2020-08-01 00:00:00),0.01,0.008,0.006,-0.317,-0.325,-0.329,0.0025,0.0025,0.0025,"1,763K","1,600K","4,791K",0.01,0.012,0.009,-0.004,-0.007,-0.008
33,2020/09/01 12:00am,1967.06,1992.41,1848.41,1885.55,1926.305,-46.75,Bearish,Bearish (2020-09-01 00:00:00),0.013,0.012,0.01,-0.314,-0.317,-0.317,0.0025,0.0025,0.0025,"1,371K","1,400K","1,734K",0.01,0.012,0.009,-0.002,-0.003,-0.004
