time,open,high,low,close,avgPrice,gradient,signal_label,signal_with_time
4/1/2022,1937.27,1998.36,1872.04,1896.23,1916.75,-5.735,Bearish,Bearish (2022-04-01 00:00:00)
5/1/2022,1897.82,1909.79,1791.41,1837.46,1867.64,-49.11,Bearish,Bearish (2022-05-01 00:00:00)
6/1/2022,1837.01,1879.02,1802.74,1807.12,1822.065,-45.575,Bearish,Bearish (2022-06-01 00:00:00)
7/1/2022,1806.88,1814.3,1680.92,1766,1786.44,-35.625,Bearish,Bearish (2022-07-01 00:00:00)
8/1/2022,1764.18,1807.92,1709.65,1710.99,1737.585,-48.855,Bearish,Bearish (2022-08-01 00:00:00)
9/1/2022,1711.12,1735.13,1614.87,1660.79,1685.955,-51.63,Bearish,Bearish (2022-09-01 00:00:00)
10/1/2022,1662.36,1729.48,1617.26,1633.56,1647.96,-37.995,Bearish,Bearish (2022-10-01 00:00:00)
11/1/2022,1632.66,1786.51,1616.66,1768.39,1700.525,52.565,Bullish,Bullish (2022-11-01 00:00:00)
12/1/2022,1768.74,1833.32,1765.87,1823.73,1796.235,95.71,Bullish,Bullish (2022-12-01 00:00:00)
1/1/2023,1826.92,1949.24,1824.21,1928.1,1877.51,81.275,Bullish,Bullish (2023-01-01 00:00:00)
2/1/2023,1927.81,1959.78,1804.75,1826.5,1877.155,-0.355,Bearish,Bearish (2023-02-01 00:00:00)
3/1/2023,1826.98,2009.8,1809.38,1969.22,1898.1,20.945,Bullish,Bullish (2023-03-01 00:00:00)
4/1/2023,1961.31,2048.76,1949.74,1989.55,1975.43,77.33,Bullish,Bullish (2023-04-01 00:00:00)
5/1/2023,1989.62,2071.72,1932.07,1962.6,1976.11,0.68,Bullish,Bullish (2023-05-01 00:00:00)
6/1/2023,1963.12,1983.43,1893.01,1919.17,1941.145,-34.965,Bearish,Bearish (2023-06-01 00:00:00)
7/1/2023,1918.99,1987.46,1902.66,1965.52,1942.255,1.11,Bullish,Bullish (2023-07-01 00:00:00)
8/1/2023,1965.78,1966.05,1884.86,1940.06,1952.92,10.665,Bullish,Bullish (2023-08-01 00:00:00)
9/1/2023,1939.88,1952.91,1846.32,1848.74,1894.31,-58.61,Bearish,Bearish (2023-09-01 00:00:00)
10/1/2023,1847.81,2009.36,1810.43,1983.97,1915.89,21.58,Bullish,Bullish (2023-10-01 00:00:00)
11/1/2023,1983.8,2051.99,1931.72,2036.09,2009.945,94.055,Bullish,Bullish (2023-11-01 00:00:00)
12/1/2023,2036.88,2143.85,1973.02,2063.03,2049.955,40.01,Bullish,Bullish (2023-12-01 00:00:00)
1/1/2024,2063.69,2078.88,2001.91,2039.2,2051.445,1.49,Bullish,Bullish (2024-01-01 00:00:00)
2/1/2024,2039.99,2065.41,1984.26,2044.12,2042.055,-9.39,Bearish,Bearish (2024-02-01 00:00:00)
3/1/2024,2043.69,2236.24,2039.1,2232.88,2138.285,96.23,Bullish,Bullish (2024-03-01 00:00:00)
4/1/2024,2239.9,2431.52,2228.54,2286.3,2263.1,124.815,Bullish,Bullish (2024-04-01 00:00:00)
5/1/2024,2286.49,2450.06,2277.34,2327.46,2306.975,43.875,Bullish,Bullish (2024-05-01 00:00:00)
6/1/2024,2327.79,2387.72,2286.82,2326.4,2327.095,20.12,Bullish,Bullish (2024-06-01 00:00:00)
7/1/2024,2327.13,2483.69,2318.56,2447.24,2387.185,60.09,Bullish,Bullish (2024-07-01 00:00:00)
8/1/2024,2448.4,2531.72,2364.35,2503.35,2475.875,88.69,Bullish,Bullish (2024-08-01 00:00:00)
9/1/2024,2503.75,2685.58,2471.93,2634.53,2569.14,93.265,Bullish,Bullish (2024-09-01 00:00:00)
10/1/2024,2634.38,2790.1,2604.49,2743.77,2689.075,119.935,Bullish,Bullish (2024-10-01 00:00:00)
11/1/2024,2743.83,2762.22,2536.85,2650.39,2697.11,8.035,Bullish,Bullish (2024-11-01 00:00:00)
12/1/2024,2652.29,2726.16,2582.92,2624.43,2638.36,-58.75,Bearish,Bearish (2024-12-01 00:00:00)
1/1/2025,2625.14,2817.11,2614.79,2798.47,2711.805,73.445,Bullish,Bullish (2025-01-01 00:00:00)
2/1/2025,2797.69,2956.29,2772.21,2859.06,2828.375,116.57,Bullish,Bullish (2025-02-01 00:00:00)
3/1/2025,2856.12,3127.92,2855.87,3123.96,2990.04,161.665,Bullish,Bullish (2025-03-01 00:00:00)
4/1/2025,3123.08,3500.12,2956.56,3288.27,3205.675,215.635,Bullish,Bullish (2025-04-01 00:00:00)
5/1/2025,3289.25,3438.27,3120.57,3288.72,3288.985,83.31,Bullish,Bullish (2025-05-01 00:00:00)
6/1/2025,3298.26,3380.46,3295.92,3379.89,3339.075,50.09,Bullish,Bullish (2025-06-01 00:00:00)
