time,open,high,low,close,avgPrice,gradient,signal_label,signal_with_time
1/1/2018,1302.96,1366.08,1302.26,1345.04,1324,,Neutral,Neutral (2018-01-01 00:00:00)
2/1/2018,1344.73,1361.76,1307.08,1318.07,1331.4,7.4,Bullish,Bullish (2018-02-01 00:00:00)
3/1/2018,1318,1356.86,1302.82,1325.15,1321.575,-9.825,Bearish,Bearish (2018-03-01 00:00:00)
4/1/2018,1325.5,1365.29,1310.24,1315.27,1320.385,-1.19,Bearish,Bearish (2018-04-01 00:00:00)
5/1/2018,1314.72,1325.98,1282.1,1298.25,1306.485,-13.9,Bearish,Bearish (2018-05-01 00:00:00)
6/1/2018,1298.65,1309.3,1245.98,1252.69,1275.67,-30.815,Bearish,Bearish (2018-06-01 00:00:00)
7/1/2018,1251.64,1265.98,1211.46,1223.72,1237.68,-37.99,Bearish,Bearish (2018-07-01 00:00:00)
8/1/2018,1223.45,1224.85,1160.19,1201.01,1212.23,-25.45,Bearish,Bearish (2018-08-01 00:00:00)
9/1/2018,1200.69,1212.67,1180.67,1191.95,1196.32,-15.91,Bearish,Bearish (2018-09-01 00:00:00)
10/1/2018,1192.32,1243.45,1183.33,1214.63,1203.475,7.155,Bullish,Bullish (2018-10-01 00:00:00)
11/1/2018,1215.31,1237.39,1196.33,1222.22,1218.765,15.29,Bullish,Bullish (2018-11-01 00:00:00)
12/1/2018,1224.79,1284.11,1219.59,1282.46,1253.625,34.86,Bullish,Bullish (2018-12-01 00:00:00)
1/1/2019,1282.23,1326.3,1276.66,1321.35,1301.79,48.165,Bullish,Bullish (2019-01-01 00:00:00)
2/1/2019,1321.1,1346.76,1302.37,1313.14,1317.12,15.33,Bullish,Bullish (2019-02-01 00:00:00)
3/1/2019,1313.85,1324.54,1280.9,1292,1302.925,-14.195,Bearish,Bearish (2019-03-01 00:00:00)
4/1/2019,1292.28,1310.62,1266.34,1283.44,1287.86,-15.065,Bearish,Bearish (2019-04-01 00:00:00)
5/1/2019,1283.16,1306.96,1266.31,1305.55,1294.355,6.495,Bullish,Bullish (2019-05-01 00:00:00)
6/1/2019,1306.98,1439.12,1305.95,1409.46,1358.22,63.865,Bullish,Bullish (2019-06-01 00:00:00)
7/1/2019,1398.45,1452.98,1381.8,1411.66,1405.055,46.835,Bullish,Bullish (2019-07-01 00:00:00)
8/1/2019,1413.35,1555.03,1400.56,1520.55,1466.95,61.895,Bullish,Bullish (2019-08-01 00:00:00)
9/1/2019,1532.86,1557.06,1464.53,1472.55,1502.705,35.755,Bullish,Bullish (2019-09-01 00:00:00)
10/1/2019,1471.89,1519.64,1459.1,1512.48,1492.185,-10.52,Bearish,Bearish (2019-10-01 00:00:00)
11/1/2019,1512.62,1516.17,1445.62,1463.97,1488.295,-3.89,Bearish,Bearish (2019-11-01 00:00:00)
12/1/2019,1464.19,1525.32,1453.99,1520.3,1492.245,3.95,Bullish,Bullish (2019-12-01 00:00:00)
1/1/2020,1517.97,1611.39,1517.23,1589.17,1553.57,61.325,Bullish,Bullish (2020-01-01 00:00:00)
2/1/2020,1593.12,1689.35,1547.51,1585.67,1589.395,35.825,Bullish,Bullish (2020-02-01 00:00:00)
3/1/2020,1591.59,1703.29,1451.22,1576.22,1583.905,-5.49,Bearish,Bearish (2020-03-01 00:00:00)
4/1/2020,1575.06,1747.81,1567.84,1687,1631.03,47.125,Bullish,Bullish (2020-04-01 00:00:00)
5/1/2020,1686.77,1765.31,1670.32,1729.81,1708.29,77.26,Bullish,Bullish (2020-05-01 00:00:00)
6/1/2020,1735.05,1786.12,1670.72,1780.44,1757.745,49.455,Bullish,Bullish (2020-06-01 00:00:00)
7/1/2020,1780.44,1983.07,1757.44,1975.24,1877.84,120.095,Bullish,Bullish (2020-07-01 00:00:00)
8/1/2020,1978.48,2075.24,1862.6,1967.63,1973.055,95.215,Bullish,Bullish (2020-08-01 00:00:00)
9/1/2020,1967.06,1992.41,1848.41,1885.55,1926.305,-46.75,Bearish,Bearish (2020-09-01 00:00:00)
10/1/2020,1885.26,1933.19,1859.94,1878.38,1881.82,-44.485,Bearish,Bearish (2020-10-01 00:00:00)
11/1/2020,1877.02,1965.51,1764.23,1776.72,1826.87,-54.95,Bearish,Bearish (2020-11-01 00:00:00)
12/1/2020,1777.9,1906.74,1775.74,1893.7,1835.8,8.93,Bullish,Bullish (2020-12-01 00:00:00)
1/1/2021,1908.61,1959.35,1803.58,1848.69,1878.65,42.85,Bullish,Bullish (2021-01-01 00:00:00)
2/1/2021,1859.64,1871.82,1717.22,1734.28,1796.96,-81.69,Bearish,Bearish (2021-02-01 00:00:00)
3/1/2021,1735.92,1759.83,1676.81,1707.39,1721.655,-75.305,Bearish,Bearish (2021-03-01 00:00:00)
4/1/2021,1707.04,1797.85,1705.76,1768.88,1737.96,16.305,Bullish,Bullish (2021-04-01 00:00:00)
5/1/2021,1766.81,1912.75,1766.04,1906.64,1836.725,98.765,Bullish,Bullish (2021-05-01 00:00:00)
6/1/2021,1907.39,1916.6,1750.67,1770.37,1838.88,2.155,Bullish,Bullish (2021-06-01 00:00:00)
7/1/2021,1770.04,1834.14,1765.73,1814.09,1792.065,-46.815,Bearish,Bearish (2021-07-01 00:00:00)
8/1/2021,1813.83,1831.72,1679.17,1813.74,1813.785,21.72,Bullish,Bullish (2021-08-01 00:00:00)
9/1/2021,1814.36,1833.99,1721.65,1757,1785.68,-28.105,Bearish,Bearish (2021-09-01 00:00:00)
10/1/2021,1756.36,1813.84,1745.88,1782.96,1769.66,-16.02,Bearish,Bearish (2021-10-01 00:00:00)
11/1/2021,1782.92,1877.13,1758.82,1774.81,1778.865,9.205,Bullish,Bullish (2021-11-01 00:00:00)
12/1/2021,1775.08,1828.61,1751.04,1828.34,1801.71,22.845,Bullish,Bullish (2021-12-01 00:00:00)
1/1/2022,1830.09,1853.88,1780.31,1797.3,1813.695,11.985,Bullish,Bullish (2022-01-01 00:00:00)
2/1/2022,1798.04,1974.41,1788.7,1908.93,1853.485,39.79,Bullish,Bullish (2022-02-01 00:00:00)
3/1/2022,1907.85,2070.27,1890.1,1937.12,1922.485,69,Bullish,Bullish (2022-03-01 00:00:00)
