datetime,open,high,low,close,tick_volume,avgPrice,gradient,signal_label,signal_with_time
2018-01-02,1302.96,1318.92,1302.26,1317.38,200996,1310.17,,Neutral,Neutral (2018-01-02 00:00:00)
2018-01-03,1317.48,1321.46,1307.46,1313.1,203751,1315.29,5.119999999999891,Bullish,Bullish (2018-01-03 00:00:00)
2018-01-04,1312.88,1326.01,1305.9,1322.7,216293,1317.79,2.5,Bullish,Bullish (2018-01-04 00:00:00)
2018-01-05,1322.63,1323.45,1313.69,1319.42,213603,1321.025,3.2350000000001273,Bullish,Bullish (2018-01-05 00:00:00)
2018-01-08,1320.79,1322.16,1314.84,1320.4,160230,1320.595,-0.43000000000006366,Bearish,Bearish (2018-01-08 00:00:00)
2018-01-09,1320.22,1320.48,1308.84,1312.77,217551,1316.495,-4.100000000000136,Bearish,Bearish (2018-01-09 00:00:00)
2018-01-10,1312.3,1327.74,1308.25,1316.62,276465,1314.46,-2.0349999999998545,Bearish,Bearish (2018-01-10 00:00:00)
2018-01-11,1316.75,1323.98,1315.72,1322.35,235408,1319.55,5.089999999999918,Bullish,Bullish (2018-01-11 00:00:00)
2018-01-12,1322.64,1339.39,1321.58,1337.74,256215,1330.19,10.6400000000001,Bullish,Bullish (2018-01-12 00:00:00)
2018-01-15,1336.27,1344.76,1335.88,1339.86,161751,1338.065,7.875,Bullish,Bullish (2018-01-15 00:00:00)
2018-01-16,1340.39,1342.31,1331.92,1338.39,247744,1339.39,1.3250000000000455,Bullish,Bullish (2018-01-16 00:00:00)
2018-01-17,1338.39,1343.99,1325.75,1326.1,288184,1332.245,-7.145000000000209,Bearish,Bearish (2018-01-17 00:00:00)
2018-01-18,1326.79,1333.14,1324.21,1326.8,271058,1326.795,-5.449999999999818,Bearish,Bearish (2018-01-18 00:00:00)
2018-01-19,1326.6,1338.09,1326.31,1331.61,252226,1329.105,2.3099999999999454,Bullish,Bullish (2018-01-19 00:00:00)
2018-01-22,1334.72,1335.67,1328.41,1333.83,202212,1334.275,5.170000000000073,Bullish,Bullish (2018-01-22 00:00:00)
2018-01-23,1333.75,1341.8,1331.38,1341.14,237734,1337.4450000000002,3.1700000000000728,Bullish,Bullish (2018-01-23 00:00:00)
2018-01-24,1341.48,1362.14,1339.52,1358.4,278652,1349.94,12.49499999999989,Bullish,Bullish (2018-01-24 00:00:00)
2018-01-25,1357.49,1366.08,1342.49,1348.27,375004,1352.88,2.9400000000000546,Bullish,Bullish (2018-01-25 00:00:00)
2018-01-26,1347.15,1357.15,1344.63,1350.24,328103,1348.6950000000002,-4.184999999999945,Bearish,Bearish (2018-01-26 00:00:00)
2018-01-29,1349.68,1352.41,1337.62,1340.32,251784,1345.0,-3.6950000000001637,Bearish,Bearish (2018-01-29 00:00:00)
2018-01-30,1340.7,1348.97,1334.47,1338.52,303221,1339.6100000000001,-5.389999999999873,Bearish,Bearish (2018-01-30 00:00:00)
2018-01-31,1338.15,1347.58,1332.71,1345.04,318961,1341.595,1.9849999999999,Bullish,Bullish (2018-01-31 00:00:00)
2018-02-01,1344.73,1351.11,1337.28,1348.79,312197,1346.76,5.164999999999964,Bullish,Bullish (2018-02-01 00:00:00)
2018-02-02,1349.07,1350.08,1327.48,1332.85,352705,1340.96,-5.7999999999999545,Bearish,Bearish (2018-02-02 00:00:00)
2018-02-05,1331.56,1341.62,1329.02,1339.53,377991,1335.545,-5.414999999999964,Bearish,Bearish (2018-02-05 00:00:00)
2018-02-06,1339.68,1346.12,1320.25,1324.34,555616,1332.01,-3.535000000000082,Bearish,Bearish (2018-02-06 00:00:00)
