Release Date,Time,Actual,Forecast,Previous
"Jun 12, 2019 (May)",15:30:00,0.018,0.019,0.02
"May 10, 2019 (Apr)",15:30:00,0.02,0.021,0.019
"Apr 10, 2019 (Mar)",15:30:00,0.019,0.018,0.015
"Mar 12, 2019 (Feb)",15:30:00,0.015,0.016,0.016
"Feb 13, 2019 (Jan)",16:30:00,0.016,0.015,0.019
"Jan 11, 2019 (Dec)",16:30:00,0.019,0.019,0.022
"Dec 12, 2018 (Nov)",16:30:00,0.022,0.022,0.025
"Nov 14, 2018 (Oct)",16:30:00,0.025,0.025,0.023
"Oct 11, 2018 (Sep)",15:30:00,0.023,0.024,0.027
"Sep 13, 2018 (Aug)",15:30:00,0.027,0.028,0.029
"Aug 10, 2018 (Jul)",15:30:00,0.029,0.03,0.029
"Jul 12, 2018 (Jun)",15:30:00,0.029,0.029,0.028
"Jun 12, 2018 (May)",15:30:00,0.028,0.027,0.025
"May 10, 2018 (Apr)",15:30:00,0.025,0.025,0.024
"Apr 11, 2018 (Mar)",15:30:00,0.024,0.024,0.022
"Mar 13, 2018 (Feb)",15:30:00,0.022,0.022,0.021
"Feb 14, 2018 (Jan)",16:30:00,0.021,0.019,0.021
"Jan 12, 2018 (Dec)",16:30:00,0.021,0.021,0.022
