Open Time,Open Price,High Price
2025-01-03 12:30:00,96893.03,96921.36
2025-01-03 13:00:00,96666.66,96839.71
2025-01-03 13:30:00,96538.95,96716.92
2025-01-03 14:00:00,96504.8,97131.0
2025-01-03 14:30:00,97084.6,97342.44
2025-01-03 15:00:00,97016.0,97450.0
2025-01-03 15:30:00,97263.79,97660.0
2025-01-03 16:00:00,97521.36,98444.42
2025-01-03 16:30:00,98066.0,98368.85
2025-01-03 17:00:00,97868.21,98263.13
2025-01-03 17:30:00,98164.02,98299.76
2025-01-03 18:00:00,98025.99,98481.74
2025-01-03 18:30:00,98481.73,98697.86
2025-01-03 19:00:00,98527.97,98976.91
2025-01-03 19:30:00,98697.85,98838.18
2025-01-03 20:00:00,98592.02,98748.0
2025-01-03 20:30:00,98618.08,98629.05
2025-01-03 21:00:00,98311.51,98369.56
2025-01-03 21:30:00,98274.47,98419.14
2025-01-03 22:00:00,98272.7,98512.94
2025-01-03 22:30:00,98460.38,98485.83
2025-01-03 23:00:00,98296.37,98382.19
2025-01-03 23:30:00,98101.01,98184.6
2025-01-04 00:00:00,98174.17,98288.0
2025-01-04 00:30:00,98094.02,98094.02
2025-01-04 01:00:00,97950.01,98005.69
2025-01-04 01:30:00,97960.15,98095.06
2025-01-04 02:00:00,98040.0,98042.02
2025-01-04 02:30:00,97900.67,98314.15
2025-01-04 03:00:00,98304.51,98304.51
2025-01-04 03:30:00,98086.8,98269.39
2025-01-04 04:00:00,98200.01,98200.01
2025-01-04 04:30:00,97948.87,98012.91
2025-01-04 05:00:00,98001.0,98164.75
2025-01-04 05:30:00,98143.45,98196.51
2025-01-04 06:00:00,98126.21,98140.98
2025-01-04 06:30:00,98073.03,98209.7
2025-01-04 07:00:00,98127.53,98350.04
2025-01-04 07:30:00,98193.71,98323.28
2025-01-04 08:00:00,98271.87,98306.22
2025-01-04 08:30:00,98185.85,98270.07
2025-01-04 09:00:00,97906.08,97980.0
2025-01-04 09:30:00,97873.39,97899.07
2025-01-04 10:00:00,97690.37,97762.33
2025-01-04 10:30:00,97736.17,97859.6
2025-01-04 11:00:00,97789.32,97789.32
2025-01-04 11:30:00,97758.89,97923.07
2025-01-04 12:00:00,97889.4,98016.97
2025-01-04 12:30:00,97921.9,97993.49
2025-01-04 13:00:00,97888.12,97967.35
2025-01-04 13:30:00,97849.51,98068.46
2025-01-04 14:00:00,97973.05,98013.32
2025-01-04 14:30:00,98000.01,98080.15
2025-01-04 15:00:00,98035.05,98152.02
2025-01-04 15:30:00,97832.07,97832.07
2025-01-04 16:00:00,97657.95,97874.68
2025-01-04 16:30:00,97703.11,97729.14
2025-01-04 17:00:00,97704.6,97826.81
2025-01-04 17:30:00,97780.28,98049.99
2025-01-04 18:00:00,98016.26,98139.13
2025-01-04 18:30:00,98057.27,98098.39
2025-01-04 19:00:00,97961.56,98350.0
2025-01-04 19:30:00,98167.17,98264.24
2025-01-04 20:00:00,98166.26,98490.0
2025-01-04 20:30:00,98456.37,98671.02
2025-01-04 21:00:00,98599.02,98778.43
2025-01-04 21:30:00,98532.81,98532.82
2025-01-04 22:00:00,98362.43,98406.27
2025-01-04 22:30:00,98268.01,98484.85
2025-01-04 23:00:00,98417.25,98419.14
2025-01-04 23:30:00,98240.0,98311.24
2025-01-05 00:00:00,98220.51,98391.59
2025-01-05 00:30:00,98272.31,98343.9
2025-01-05 01:00:00,98213.44,98322.35
2025-01-05 01:30:00,98213.61,98213.62
