time,open,high,low,close,tick_volume
2018-01-02,1302.96,1318.92,1302.26,1317.38,200996
2018-01-03,1317.48,1321.46,1307.46,1313.1,203751
2018-01-04,1312.88,1326.01,1305.9,1322.7,216293
2018-01-05,1322.63,1323.45,1313.69,1319.42,213603
2018-01-08,1320.79,1322.16,1314.84,1320.4,160230
2018-01-09,1320.22,1320.48,1308.84,1312.77,217551
2018-01-10,1312.3,1327.74,1308.25,1316.62,276465
2018-01-11,1316.75,1323.98,1315.72,1322.35,235408
2018-01-12,1322.64,1339.39,1321.58,1337.74,256215
2018-01-15,1336.27,1344.76,1335.88,1339.86,161751
2018-01-16,1340.39,1342.31,1331.92,1338.39,247744
2018-01-17,1338.39,1343.99,1325.75,1326.1,288184
2018-01-18,1326.79,1333.14,1324.21,1326.8,271058
2018-01-19,1326.6,1338.09,1326.31,1331.61,252226
2018-01-22,1334.72,1335.67,1328.41,1333.83,202212
2018-01-23,1333.75,1341.8,1331.38,1341.14,237734
2018-01-24,1341.48,1362.14,1339.52,1358.4,278652
2018-01-25,1357.49,1366.08,1342.49,1348.27,375004
2018-01-26,1347.15,1357.15,1344.63,1350.24,328103
2018-01-29,1349.68,1352.41,1337.62,1340.32,251784
2018-01-30,1340.7,1348.97,1334.47,1338.52,303221
2018-01-31,1338.15,1347.58,1332.71,1345.04,318961
2018-02-01,1344.73,1351.11,1337.28,1348.79,312197
2018-02-02,1349.07,1350.08,1327.48,1332.85,352705
2018-02-05,1331.56,1341.62,1329.02,1339.53,377991
2018-02-06,1339.68,1346.12,1320.25,1324.34,555616
2018-02-07,1323.77,1332.33,1311.45,1318.42,410940
2018-02-08,1318.0,1322.18,1307.08,1318.83,433793
2018-02-09,1318.24,1322.7,1311.16,1315.97,448403
2018-02-12,1314.91,1326.81,1314.18,1322.52,289971
2018-02-13,1322.47,1331.08,1321.63,1329.36,318416
2018-02-14,1329.42,1355.54,1317.02,1350.42,421799
2018-02-15,1349.98,1357.16,1348.59,1353.23,339146
2018-02-16,1353.61,1361.76,1344.78,1347.65,323774
2018-02-19,1347.51,1351.4,1345.83,1346.68,163487
2018-02-20,1346.66,1348.2,1328.51,1329.44,291123
2018-02-21,1328.88,1336.25,1322.4,1324.41,332533
2018-02-22,1323.66,1332.14,1320.97,1331.93,303338
2018-02-23,1331.3,1332.17,1325.84,1328.89,247816
2018-02-26,1328.2,1341.06,1326.6,1333.26,271228
2018-02-27,1332.55,1336.74,1313.45,1318.46,321179
2018-02-28,1317.75,1322.57,1315.64,1318.07,290715
2018-03-01,1318.0,1321.18,1302.82,1316.96,411354
2018-03-02,1317.11,1325.48,1315.25,1322.4,347322
2018-03-05,1323.58,1327.8,1317.55,1320.3,335910
2018-03-06,1319.76,1338.49,1319.64,1334.62,338852
2018-03-07,1337.66,1340.48,1322.21,1325.52,360134
2018-03-08,1325.01,1329.06,1319.05,1321.91,306521
2018-03-09,1321.71,1325.17,1312.83,1323.37,314885
2018-03-12,1323.44,1324.28,1315.1,1323.02,232495
2018-03-13,1322.79,1328.34,1313.81,1326.38,291306
2018-03-14,1326.3,1330.04,1321.46,1324.93,277419
2018-03-15,1324.33,1327.92,1314.96,1316.12,256412
2018-03-16,1316.18,1321.77,1309.66,1313.77,255003
2018-03-19,1313.34,1319.65,1307.79,1316.88,263894
2018-03-20,1316.61,1318.28,1307.22,1311.13,253059
2018-03-21,1310.72,1336.65,1309.85,1332.05,304221
2018-03-22,1331.73,1334.9,1324.8,1328.92,357326
2018-03-23,1329.19,1350.27,1328.99,1347.06,359998
2018-03-26,1347.08,1355.94,1343.51,1353.48,260470
2018-03-27,1353.45,1356.86,1339.88,1344.68,272246
2018-03-28,1345.17,1347.05,1323.48,1324.76,343946
2018-03-29,1324.74,1328.36,1321.21,1325.15,280190
2018-04-02,1325.5,1344.95,1324.84,1341.29,258964
2018-04-03,1340.44,1342.5,1328.92,1332.77,317008
2018-04-04,1332.57,1348.26,1331.52,1333.22,347035
2018-04-05,1332.82,1334.89,1322.77,1326.56,283165
2018-04-06,1326.12,1335.52,1319.79,1333.18,379721
2018-04-09,1333.77,1338.01,1326.91,1336.26,291213
2018-04-10,1336.07,1342.59,1331.07,1339.56,324396
2018-04-11,1339.3,1365.29,1339.06,1353.18,340306
2018-04-12,1352.65,1353.19,1333.76,1335.0,334317
2018-04-13,1334.58,1347.19,1333.34,1345.33,291972
2018-04-16,1346.14,1350.54,1340.19,1345.82,269374
2018-04-17,1345.98,1349.42,1337.7,1347.24,261943
2018-04-18,1347.35,1355.7,1342.31,1349.3,283909
2018-04-19,1349.23,1354.71,1340.96,1345.46,308430
2018-04-20,1345.52,1346.31,1334.99,1335.49,262553
2018-04-23,1334.25,1335.51,1322.15,1324.74,248220
2018-04-24,1324.51,1332.69,1322.11,1330.41,277202
2018-04-25,1330.01,1332.09,1318.84,1323.31,254509
2018-04-26,1322.62,1326.64,1315.33,1316.93,268644
2018-04-27,1316.64,1325.27,1315.42,1323.36,244392
2018-04-30,1322.3,1325.4,1310.24,1315.27,225372
2018-05-01,1314.72,1316.37,1301.76,1303.97,218823
2018-05-02,1303.53,1313.52,1303.48,1304.76,306390
2018-05-03,1304.61,1318.13,1304.45,1312.18,299963
2018-05-04,1311.75,1315.4,1308.02,1314.98,257058
2018-05-07,1314.12,1318.95,1310.25,1314.16,208063
2018-05-08,1313.4,1317.84,1306.12,1314.37,293220
2018-05-09,1314.49,1317.47,1304.32,1312.72,268904
2018-05-10,1312.41,1322.92,1310.78,1321.3,289942
2018-05-11,1321.21,1325.98,1317.23,1318.05,225721
2018-05-14,1318.16,1322.35,1313.0,1313.38,213252
2018-05-15,1312.55,1314.91,1288.73,1290.59,283484
2018-05-16,1289.93,1296.94,1286.41,1290.76,278374
2018-05-17,1290.53,1294.43,1285.09,1290.87,265041
2018-05-18,1290.71,1294.23,1286.08,1293.06,224425
2018-05-21,1290.58,1293.17,1282.1,1292.67,232903
2018-05-22,1292.75,1296.19,1287.96,1291.34,251478
2018-05-23,1290.93,1298.58,1287.95,1293.41,327597
2018-05-24,1293.65,1306.66,1292.79,1304.77,274637
2018-05-25,1304.33,1307.82,1299.9,1301.49,267970
2018-05-28,1299.64,1300.37,1295.56,1297.85,158467
2018-05-29,1297.85,1306.55,1292.96,1298.66,344296
2018-05-30,1298.65,1304.39,1295.92,1301.33,371687
2018-05-31,1301.24,1306.48,1297.32,1298.25,336170
2018-06-01,1298.65,1300.66,1289.38,1293.15,294823
2018-06-04,1292.73,1298.1,1290.26,1291.87,240892
2018-06-05,1292.12,1300.57,1289.81,1296.42,256759
2018-06-06,1296.19,1301.83,1293.83,1296.52,240525
2018-06-07,1296.41,1303.18,1294.91,1296.95,265710
2018-06-08,1296.83,1300.59,1292.62,1298.94,246473
2018-06-11,1299.79,1302.34,1294.14,1300.26,192722
2018-06-12,1300.11,1300.59,1293.09,1295.78,228788
2018-06-13,1295.04,1301.26,1291.84,1299.52,218981
2018-06-14,1299.22,1309.3,1297.56,1302.1,262795
2018-06-15,1302.38,1303.16,1275.48,1279.54,279221
2018-06-18,1277.36,1282.45,1277.08,1278.34,179385
2018-06-19,1277.31,1284.09,1270.46,1274.44,276867
2018-06-20,1274.65,1276.45,1267.67,1267.95,231997
2018-06-21,1267.44,1270.15,1261.38,1267.09,262677
2018-06-22,1266.49,1271.24,1266.49,1269.27,207364
2018-06-25,1270.1,1272.6,1264.51,1265.47,223552
2018-06-26,1265.55,1267.68,1254.75,1258.83,241483
2018-06-27,1258.69,1260.11,1250.73,1252.04,292033
2018-06-28,1251.78,1254.31,1245.98,1248.19,275419
2018-06-29,1247.84,1255.66,1246.19,1252.69,262293
2018-07-02,1251.64,1254.23,1239.71,1241.9,228264
2018-07-03,1241.89,1256.86,1237.97,1252.67,227590
2018-07-04,1252.91,1261.12,1252.03,1255.68,161342
2018-07-05,1255.53,1259.78,1251.33,1257.64,244784
2018-07-06,1257.13,1259.01,1252.83,1254.69,219906
2018-07-09,1255.03,1265.98,1255.03,1257.64,188042
2018-07-10,1257.34,1260.38,1247.38,1255.49,206584
2018-07-11,1255.82,1256.93,1241.57,1242.08,269389
2018-07-12,1241.63,1248.58,1241.34,1247.08,208227
2018-07-13,1247.16,1248.14,1236.52,1241.19,212515
2018-07-16,1240.88,1245.58,1238.36,1240.91,170389
2018-07-17,1240.51,1245.03,1226.11,1227.62,231346
2018-07-18,1226.83,1229.17,1221.09,1227.5,213432
2018-07-19,1227.14,1229.15,1211.46,1222.74,302108
2018-07-20,1223.05,1232.3,1215.7,1231.79,332091
2018-07-23,1231.35,1235.16,1222.28,1224.5,258406
2018-07-24,1224.26,1229.55,1218.15,1224.41,264059
2018-07-25,1224.06,1234.2,1223.28,1231.46,260021
2018-07-26,1231.55,1235.26,1222.37,1222.57,249429
2018-07-27,1222.66,1227.36,1217.58,1222.58,210189
2018-07-30,1222.69,1225.11,1219.03,1221.46,167722
2018-07-31,1221.22,1228.64,1214.0,1223.72,254733
2018-08-01,1223.45,1224.85,1215.82,1215.96,227969
2018-08-02,1215.67,1221.23,1207.12,1207.77,230362
2018-08-03,1206.42,1220.07,1204.5,1213.33,236713
2018-08-06,1213.6,1217.89,1206.26,1207.35,180665
2018-08-07,1207.12,1216.17,1207.11,1210.96,186401
2018-08-08,1210.73,1215.87,1206.46,1213.66,205325
2018-08-09,1213.66,1217.31,1210.79,1212.31,211942
2018-08-10,1212.26,1217.12,1205.77,1211.15,317112
2018-08-13,1211.05,1213.88,1191.68,1193.55,313480
2018-08-14,1194.08,1198.75,1192.07,1193.95,236414
2018-08-15,1194.09,1194.73,1173.12,1174.69,313246
2018-08-16,1175.64,1182.04,1160.19,1174.06,352703
2018-08-17,1173.84,1185.05,1171.94,1184.61,271304
2018-08-20,1183.34,1190.88,1182.81,1190.49,204502
2018-08-21,1190.45,1197.04,1187.68,1196.07,237306
2018-08-22,1196.5,1201.62,1192.59,1195.45,235964
2018-08-23,1196.1,1196.63,1183.91,1185.2,240572
2018-08-24,1185.05,1208.62,1183.15,1205.96,265710
2018-08-27,1207.09,1212.43,1203.11,1211.27,204192
2018-08-28,1211.18,1214.32,1199.65,1201.05,242475
2018-08-29,1200.76,1207.27,1200.7,1206.55,241308
2018-08-30,1206.63,1207.9,1196.28,1199.83,261020
2018-08-31,1200.34,1208.88,1198.28,1201.01,269251
2018-09-03,1200.69,1203.9,1195.68,1201.06,150211
2018-09-04,1200.45,1202.03,1189.66,1191.41,262701
2018-09-05,1191.41,1198.43,1190.9,1196.71,228336
2018-09-06,1196.54,1207.01,1195.84,1200.07,257867
2018-09-07,1199.92,1203.54,1193.48,1195.78,276285
2018-09-10,1195.1,1198.54,1191.57,1195.83,207753
2018-09-11,1194.96,1199.4,1187.75,1198.64,214139
2018-09-12,1198.02,1208.5,1192.72,1206.15,252836
2018-09-13,1206.96,1212.67,1200.21,1201.41,246737
2018-09-14,1201.42,1208.58,1193.29,1193.69,208138
2018-09-17,1194.24,1204.83,1192.84,1201.34,138327
2018-09-18,1201.29,1203.58,1195.9,1198.26,167829
