time,open,high,low,close,tick_volume
2018-01-07,1320.79,1339.39,1308.25,1337.74,1145869
2018-01-14,1336.27,1344.76,1324.21,1331.61,1220963
2018-01-21,1334.72,1366.08,1328.41,1350.24,1421705
2018-01-28,1349.68,1352.41,1327.48,1332.85,1538868
2018-02-04,1331.56,1346.12,1307.08,1315.97,2226743
2018-02-11,1314.91,1361.76,1314.18,1347.65,1693106
2018-02-18,1347.51,1351.4,1320.97,1328.89,1338297
2018-02-25,1328.2,1341.06,1302.82,1322.4,1641798
2018-03-04,1323.58,1340.48,1312.83,1323.37,1656302
2018-03-11,1323.44,1330.04,1309.66,1313.77,1312635
2018-03-18,1313.34,1350.27,1307.22,1347.06,1538498
2018-03-25,1347.08,1356.86,1321.21,1325.15,1156852
2018-04-01,1325.5,1348.26,1319.79,1333.18,1585893
2018-04-08,1333.77,1365.29,1326.91,1345.33,1582204
2018-04-15,1346.14,1355.7,1334.99,1335.49,1386209
2018-04-22,1334.25,1335.51,1315.33,1323.36,1292967
2018-04-29,1322.3,1325.4,1301.76,1314.98,1307606
2018-05-06,1314.12,1325.98,1304.32,1318.05,1285850
2018-05-13,1318.16,1322.35,1285.09,1293.06,1264576
2018-05-20,1290.58,1307.82,1282.1,1301.49,1354585
2018-05-27,1299.64,1306.55,1289.38,1293.15,1505443
2018-06-03,1292.73,1303.18,1289.81,1298.94,1250359
2018-06-10,1299.79,1309.3,1275.48,1279.54,1182507
2018-06-17,1277.36,1284.09,1261.38,1269.27,1158290
2018-06-24,1270.1,1272.6,1245.98,1252.69,1294780
2018-07-01,1251.64,1261.12,1237.97,1254.69,1081886
2018-07-08,1255.03,1265.98,1236.52,1241.19,1084757
2018-07-15,1240.88,1245.58,1211.46,1231.79,1249366
2018-07-22,1231.35,1235.26,1217.58,1222.58,1242104
2018-07-29,1222.69,1228.64,1204.5,1213.33,1117499
2018-08-05,1213.6,1217.89,1205.77,1211.15,1101445
2018-08-12,1211.05,1213.88,1160.19,1184.61,1487147
2018-08-19,1183.34,1208.62,1182.81,1205.96,1184054
2018-08-26,1207.09,1214.32,1196.28,1201.01,1218246
2018-09-02,1200.69,1207.01,1189.66,1195.78,1175400
2018-09-09,1195.1,1212.67,1187.75,1193.69,1129603
2018-09-16,1194.24,1211.06,1191.85,1199.58,744572
2018-09-23,1198.85,1204.21,1180.67,1191.95,733587
2018-09-30,1192.32,1208.3,1184.63,1202.91,766431
2018-10-07,1203.09,1226.34,1183.33,1218.08,836037
2018-10-14,1217.36,1233.3,1216.89,1226.26,743866
2018-10-21,1227.32,1243.45,1220.11,1233.61,798091
2018-10-28,1234.01,1237.39,1212.02,1232.96,837904
2018-11-04,1233.05,1236.43,1206.78,1209.37,738273
2018-11-11,1209.74,1225.33,1196.33,1221.51,799218
2018-11-18,1222.38,1230.08,1218.03,1222.78,568811
2018-11-25,1223.52,1229.03,1211.2,1222.22,614562
2018-12-02,1224.79,1250.07,1219.59,1248.59,736848
2018-12-09,1249.67,1250.94,1232.95,1238.38,681827
2018-12-16,1238.85,1266.51,1235.83,1255.46,1864043
2018-12-23,1257.5,1282.17,1257.14,1280.66,1454874
2018-12-30,1280.65,1298.61,1276.66,1284.91,1554042
2019-01-06,1284.89,1297.09,1279.43,1287.47,1308888
2019-01-13,1287.64,1295.9,1280.67,1281.52,686668
2019-01-20,1281.61,1304.07,1276.81,1302.51,545848
2019-01-27,1302.95,1326.3,1297.71,1317.69,662726
2019-02-03,1318.07,1319.09,1302.81,1314.11,571249
2019-02-10,1313.88,1322.63,1302.37,1321.28,583611
2019-02-17,1321.02,1346.76,1320.68,1327.85,690481
2019-02-24,1327.69,1332.64,1290.22,1293.55,707587
2019-03-03,1293.51,1300.76,1280.9,1298.23,606854
2019-03-10,1297.95,1311.29,1290.49,1302.05,501641
2019-03-17,1301.99,1320.39,1298.23,1313.29,533487
2019-03-24,1313.56,1324.54,1286.8,1292.0,579686
2019-03-31,1292.28,1297.05,1280.9,1291.5,462058
2019-04-07,1291.22,1310.62,1289.68,1290.42,432838
2019-04-14,1291.16,1292.03,1271.18,1275.46,343351
2019-04-21,1275.78,1288.72,1266.34,1285.92,429517
2019-04-28,1286.45,1287.24,1266.31,1279.04,459025
2019-05-05,1280.75,1291.51,1277.05,1285.75,492082
2019-05-12,1287.58,1303.33,1274.87,1277.71,422080
2019-05-19,1277.55,1287.31,1269.55,1284.82,386516
2019-05-26,1284.77,1306.96,1275.06,1305.55,428584
2019-06-02,1306.98,1348.26,1305.95,1340.38,616173
2019-06-09,1336.48,1358.2,1319.92,1341.33,543595
2019-06-16,1341.82,1411.78,1333.04,1398.96,787738
2019-06-23,1400.19,1439.12,1398.68,1409.46,870942
2019-06-30,1398.45,1437.72,1381.8,1398.68,759210
2019-07-07,1398.13,1427.17,1385.86,1415.25,705734
2019-07-14,1415.36,1452.98,1400.14,1425.01,754775
2019-07-21,1427.54,1433.83,1411.05,1418.27,661208
2019-07-28,1418.55,1449.11,1400.56,1440.76,801041
2019-08-04,1440.75,1510.41,1436.8,1496.98,968531
2019-08-11,1497.63,1535.04,1480.1,1512.31,874088
2019-08-18,1512.22,1530.24,1492.53,1526.8,613348
2019-08-25,1535.09,1555.03,1516.95,1520.55,778643
2019-09-01,1532.86,1557.06,1502.59,1505.84,784499
2019-09-08,1507.41,1524.2,1484.52,1488.35,868816
2019-09-15,1505.34,1517.07,1483.45,1516.49,840736
2019-09-22,1513.73,1535.7,1486.84,1496.86,943484
2019-09-29,1494.81,1519.64,1459.1,1504.64,996167
2019-10-06,1512.65,1517.07,1474.05,1488.59,959804
2019-10-13,1487.38,1498.43,1477.08,1490.17,797778
2019-10-20,1491.63,1517.98,1480.88,1504.39,660833
2019-10-27,1504.46,1516.17,1481.19,1513.82,709870
2019-11-03,1514.17,1514.84,1456.25,1459.06,746127
2019-11-10,1459.37,1474.67,1445.62,1467.67,707416
2019-11-17,1467.11,1478.89,1456.42,1462.08,704455
2019-11-24,1460.79,1466.56,1450.08,1463.97,376324
2019-12-01,1464.19,1484.09,1453.99,1459.77,585745
2019-12-08,1459.59,1486.74,1458.76,1475.32,555686
2019-12-15,1475.78,1481.69,1470.49,1478.1,389935
2019-12-22,1478.25,1515.33,1477.54,1510.86,334813
2019-12-29,1511.44,1553.57,1510.8,1551.64,468403
2020-01-05,1558.55,1611.39,1540.27,1562.3,860201
2020-01-12,1559.33,1561.49,1535.95,1557.12,526008
2020-01-19,1557.23,1575.83,1546.38,1571.43,497851
2020-01-26,1581.21,1590.44,1563.4,1589.17,725171
2020-02-02,1593.12,1593.63,1547.51,1570.25,710335
