Date,BTC Price (USD),BTC Circulating Supply,BTC Market Cap (USD)
2024-12-11,94147.89,19808121.0,1864892797014.69
2024-12-12,94147.89,19808121.0,1864892797014.69
2024-12-13,94147.89,19808121.0,1864892797014.69
2024-12-14,94147.88,19808121.0,1864892598933.48
2024-12-15,94147.91,19808121.0,1864893193177.11
