Release Date,Time,Actual,Forecast,Previous
"May 30, 2025 (Apr)",15:30:00,,,0.023
"Apr 30, 2025 (Mar)",17:00:00,0.023,0.022,0.027
"Mar 28, 2025 (Feb)",15:30:00,0.025,0.025,0.025
"Feb 28, 2025 (Jan)",16:30:00,0.025,0.025,0.026
"Jan 31, 2025 (Dec)",16:30:00,0.026,0.026,0.024
"Dec 20, 2024 (Nov)",16:30:00,0.024,0.025,0.023
"Nov 27, 2024 (Oct)",18:00:00,0.023,0.023,0.021
"Oct 31, 2024 (Sep)",15:30:00,0.021,0.021,0.023
"Sep 27, 2024 (Aug)",15:30:00,0.022,0.023,0.025
"Aug 30, 2024 (Jul)",15:30:00,0.025,0.026,0.025
"Jul 26, 2024 (Jun)",15:30:00,0.025,0.025,0.026
"Jun 28, 2024 (May)",15:30:00,0.026,0.026,0.027
"May 31, 2024 (Apr)",15:30:00,0.027,0.027,0.027
"Apr 26, 2024 (Mar)",15:30:00,0.027,0.026,0.025
"Mar 29, 2024 (Feb)",15:30:00,0.025,0.025,0.024
"Feb 29, 2024 (Jan)",16:30:00,0.024,0.024,0.026
"Jan 26, 2024 (Dec)",16:30:00,0.026,0.026,0.026
"Dec 22, 2023 (Nov)",16:30:00,0.026,0.028,0.029
"Nov 30, 2023 (Oct)",16:30:00,0.03,0.03,0.034
"Oct 27, 2023 (Sep)",15:30:00,0.034,0.034,0.034
"Sep 29, 2023 (Aug)",15:30:00,0.035,0.035,0.034
"Aug 31, 2023 (Jul)",15:30:00,0.033,0.033,0.03
"Jul 28, 2023 (Jun)",15:30:00,0.03,0.031,0.038
"Jun 30, 2023 (May)",15:30:00,0.038,0.046,0.043
"May 26, 2023 (Apr)",15:30:00,0.044,0.039,0.042
"Apr 28, 2023 (Mar)",15:30:00,0.042,,0.051
"Mar 31, 2023 (Feb)",15:30:00,0.05,0.051,0.053
"Feb 24, 2023 (Jan)",16:30:00,0.054,0.05,0.053
"Jan 27, 2023 (Dec)",16:30:00,0.05,0.055,0.055
"Dec 23, 2022 (Nov)",16:30:00,0.055,,0.061
"Dec 01, 2022 (Oct)",16:30:00,0.06,0.06,0.063
"Oct 28, 2022 (Sep)",15:30:00,0.062,,0.062
"Sep 30, 2022 (Aug)",15:30:00,0.062,,0.064
"Aug 26, 2022 (Jul)",15:30:00,0.063,,0.068
"Jul 29, 2022 (Jun)",15:30:00,0.068,0.068,0.063
"Jun 30, 2022 (May)",15:30:00,6.3,,6.3
"May 27, 2022 (Apr)",15:30:00,6.3,,6.6
"Apr 29, 2022 (Mar)",15:30:00,6.6,,6.3
"Mar 31, 2022 (Feb)",15:30:00,6.4,,6.0
"Feb 25, 2022 (Jan)",16:30:00,6.1,,5.8
"Jan 28, 2022 (Dec)",16:30:00,5.8,,5.7
"Dec 23, 2021 (Nov)",16:30:00,5.7,,5.1
"Nov 24, 2021 (Oct)",18:00:00,5.0,,4.4
"Oct 29, 2021 (Sep)",15:30:00,4.4,,4.2
"Oct 01, 2021 (Aug)",15:30:00,4.3,,4.2
"Aug 27, 2021 (Jul)",15:30:00,4.2,,4.0
"Jul 30, 2021 (Jun)",15:30:00,4.0,,4.0
"Jun 25, 2021 (May)",15:30:00,3.9,,3.6
"May 28, 2021 (Apr)",15:30:00,3.6,,2.4
"Apr 30, 2021 (Mar)",15:30:00,2.3,,1.5
"Mar 26, 2021 (Feb)",16:30:00,1.6,,1.4
"Feb 26, 2021 (Jan)",16:30:00,1.5,,1.3
"Jan 29, 2021 (Dec)",16:30:00,1.3,,1.1
"Dec 23, 2020 (Nov)",16:30:00,1.1,,1.2
"Nov 25, 2020 (Oct)",18:00:00,1.2,,1.4
"Oct 30, 2020 (Sep)",15:30:00,1.4,,1.3
"Oct 01, 2020 (Aug)",15:30:00,1.4,,1.1
"Aug 28, 2020 (Jul)",15:30:00,1.0,,0.9
"Jul 31, 2020 (Jun)",15:30:00,0.8,,0.5
"Jun 26, 2020 (May)",15:30:00,0.5,,0.6
"May 29, 2020 (Apr)",15:30:00,0.5,,1.3
"Apr 30, 2020 (Mar)",15:30:00,1.3,,1.8
"Mar 27, 2020 (Feb)",15:30:00,1.8,,1.8
"Feb 28, 2020 (Jan)",16:30:00,1.7,,1.5
"Jan 31, 2020 (Dec)",16:30:00,1.6,,1.4
"Dec 20, 2019 (Nov)",18:00:00,1.5,,1.4
"Nov 27, 2019 (Oct)",18:00:00,1.3,1.2,1.3
"Oct 31, 2019 (Sep)",15:30:00,1.3,,1.4
"Sep 27, 2019 (Aug)",15:30:00,1.4,,1.4
2019-08-30 00:00:00,15:30:00,1.4,,1.4
